,col1,col2,col3
0,Seated Calibration,2021-06-14 13:31:53.013389,3258083658
1,Seated Calibration,2021-06-14 13:31:54.069348,4886953495
2,Seated Calibration,2021-06-14 13:31:54.590212,7553665665
3,Seated Calibration,2021-06-14 13:31:55.000744,1410705211
4,Seated Calibration,2021-06-14 13:31:55.403139,1722002293
5,Seated Calibration,2021-06-14 13:31:55.802695,483572077
6,Seated Calibration,2021-06-14 13:31:56.204030,6787134594
7,Seated Calibration,2021-06-14 13:31:56.606193,9237751871
8,Seated Calibration,2021-06-14 13:31:57.006031,6584995349
9,Seated Calibration,2021-06-14 13:31:57.408949,8703344050
10,seated7,2021-06-14 13:31:57.710737,1879748673
11,seated7,2021-06-14 13:31:58.078839,3008563449
12,seated7,2021-06-14 13:31:58.391657,3050481183
13,seated7,2021-06-14 13:31:58.689766,7103014988
14,seated7,2021-06-14 13:31:58.985638,5798244965
15,seated7,2021-06-14 13:31:59.285277,5713271749
16,seated2,2021-06-14 13:31:59.587708,946059185
17,seated7,2021-06-14 13:31:59.885787,4234911939
18,seated7,2021-06-14 13:32:00.186700,4583923701
19,seated3,2021-06-14 13:32:00.483658,9734572307
20,seated7,2021-06-14 13:32:00.787148,8878698793
21,seated3,2021-06-14 13:32:01.085866,334965160
22,seated3,2021-06-14 13:32:01.386126,7323606014
23,seated3,2021-06-14 13:32:01.687206,7814898504
24,seated3,2021-06-14 13:32:01.990637,4103724250
25,seated7,2021-06-14 13:32:02.289567,4109448550
26,seated3,2021-06-14 13:32:02.583005,4260420564
27,Seated1,2021-06-14 13:32:02.882636,9296045787
28,seated7,2021-06-14 13:32:03.187371,9084173866
29,seated3,2021-06-14 13:32:03.486675,2987265678
30,seated7,2021-06-14 13:32:03.783111,7009034010
31,seated7,2021-06-14 13:32:04.079175,5599312226
32,seated7,2021-06-14 13:32:04.372529,4375785156
33,seated6,2021-06-14 13:32:04.666758,9012275347
34,seated7,2021-06-14 13:32:04.963182,4662747110
35,seated7,2021-06-14 13:32:05.264259,6237257225
36,seated3,2021-06-14 13:32:05.564342,2927885025
37,Seated1,2021-06-14 13:32:05.868019,3003815152
38,seated3,2021-06-14 13:32:06.168455,161296990
39,seated7,2021-06-14 13:32:06.469877,1815093430
